source,type,target,weight
section:386fe7c9dd14,HAS_ACTION,action:3d0ce16d77ca,1
section:386fe7c9dd14,HAS_ACTION,action:2c09cde580bc,1
section:d1543d722661,HAS_ACTION,action:10920aa35251,1
section:d1543d722661,HAS_ACTION,action:82ac7f7e6213,1
section:cdcff74bcc94,HAS_ACTION,action:fc9719ebf480,1
section:cdcff74bcc94,HAS_ACTION,action:2d68244b25f5,1
section:55077b114f42,HAS_ACTION,action:2ec7bec25c21,1
section:55077b114f42,HAS_ACTION,action:95ee730d4aa7,1
section:ad73e3816873,HAS_ACTION,action:a869bd183af5,1
section:ad73e3816873,HAS_ACTION,action:01e8975b427d,1
section:58dad2f9da61,HAS_ACTION,action:aa3a76da77b2,1
section:58dad2f9da61,HAS_ACTION,action:7afac30dbc06,1
section:adbb79569930,HAS_ACTION,action:930c8db1b6b2,1
section:adbb79569930,HAS_ACTION,action:59b2778992dc,1
corpus:31311cd153bf,HAS_DOCUMENT,document:31311cd153bf,1
document:31311cd153bf,HAS_SECTION,section:386fe7c9dd14,1
document:31311cd153bf,HAS_SECTION,section:d1543d722661,1
document:31311cd153bf,HAS_SECTION,section:a67813ec0b95,1
document:31311cd153bf,HAS_SECTION,section:cdcff74bcc94,1
document:31311cd153bf,HAS_SECTION,section:51a9161a69ef,1
document:31311cd153bf,HAS_SECTION,section:1bd5be0cd31a,1
document:31311cd153bf,HAS_SECTION,section:23be38179fac,1
document:31311cd153bf,HAS_SECTION,section:18f62a5f9a18,1
document:31311cd153bf,HAS_SECTION,section:e8769b2dfae5,1
document:31311cd153bf,HAS_SECTION,section:13c99c7ccbaa,1
document:31311cd153bf,HAS_SECTION,section:5086539d1c9c,1
document:31311cd153bf,HAS_SECTION,section:8f021c9b9006,1
document:31311cd153bf,HAS_SECTION,section:185a4ba773b0,1
document:31311cd153bf,HAS_SECTION,section:edb1c4a01905,1
document:31311cd153bf,HAS_SECTION,section:55077b114f42,1
document:31311cd153bf,HAS_SECTION,section:ad73e3816873,1
document:31311cd153bf,HAS_SECTION,section:58dad2f9da61,1
document:31311cd153bf,HAS_SECTION,section:adbb79569930,1
section:386fe7c9dd14,MENTIONS_FAULT,fault_name:0c8e96103bfb,1
section:386fe7c9dd14,MENTIONS_FAULT,fault_name:c0c64d5d7cba,1
section:386fe7c9dd14,MENTIONS_FAULT,fault_name:6c7a9593b1a2,1
section:d1543d722661,MENTIONS_FAULT,fault_name:79ec728f39d3,1
section:d1543d722661,MENTIONS_FAULT,fault_name:6c7a9593b1a2,1
section:d1543d722661,MENTIONS_FAULT,fault_name:e2b66a2a8002,1
section:d1543d722661,MENTIONS_FAULT,fault_name:db8ea41251d8,1
section:d1543d722661,MENTIONS_FAULT,fault_name:ab427a0be836,1
section:cdcff74bcc94,MENTIONS_FAULT,fault_name:947b90b1ec32,1
section:cdcff74bcc94,MENTIONS_FAULT,fault_name:75901c775e55,1
section:cdcff74bcc94,MENTIONS_FAULT,fault_name:aa81319b2e8a,1
section:cdcff74bcc94,MENTIONS_FAULT,fault_name:05ccdcf1bf08,1
section:cdcff74bcc94,MENTIONS_FAULT,fault_name:6f9f63b490c6,1
section:51a9161a69ef,MENTIONS_FAULT,fault_name:9635ada4cd66,1
section:51a9161a69ef,MENTIONS_FAULT,fault_name:2dc8ec5e9708,1
section:51a9161a69ef,MENTIONS_FAULT,fault_name:16e461a9a6c2,1
section:51a9161a69ef,MENTIONS_FAULT,fault_name:d0652671be71,1
section:51a9161a69ef,MENTIONS_FAULT,fault_name:5b125d1d8c64,1
section:51a9161a69ef,MENTIONS_FAULT,fault_name:f1421803093b,1
section:5086539d1c9c,MENTIONS_FAULT,fault_name:be2b94d2dd8a,1
section:5086539d1c9c,MENTIONS_FAULT,fault_name:671a522d7f22,1
section:5086539d1c9c,MENTIONS_FAULT,fault_name:d3ff40e82e94,1
section:5086539d1c9c,MENTIONS_FAULT,fault_name:db8ea41251d8,1
section:8f021c9b9006,MENTIONS_FAULT,fault_name:1dc63f0e83ba,1
section:8f021c9b9006,MENTIONS_FAULT,fault_name:2f600d444bb4,1
section:ad73e3816873,MENTIONS_FAULT,fault_name:de5de86f13db,1
section:ad73e3816873,MENTIONS_FAULT,fault_name:6d5262547ac3,1
section:58dad2f9da61,MENTIONS_FAULT,fault_name:28a242426736,1
section:58dad2f9da61,MENTIONS_FAULT,fault_name:dd72e4a882ae,1
section:58dad2f9da61,MENTIONS_FAULT,fault_name:5d429e096760,1
section:23be38179fac,MENTIONS_MODEL,model:2886ba7866ff,1
section:23be38179fac,MENTIONS_MODEL,model:657dc1fd8dc7,1
section:23be38179fac,MENTIONS_MODEL,model:941324798ffc,1
section:23be38179fac,MENTIONS_MODEL,model:449ba0a185cf,1
section:23be38179fac,MENTIONS_MODEL,model:d4d2394f953f,1
section:23be38179fac,MENTIONS_MODEL,model:00d53f3a1f21,1
section:23be38179fac,MENTIONS_MODEL,model:8cfa666aef1a,1
section:23be38179fac,MENTIONS_MODEL,model:c7575de92fea,1
section:23be38179fac,MENTIONS_MODEL,model:bb2b8ddc14d4,1
section:23be38179fac,MENTIONS_MODEL,model:9677518059dd,1
section:13c99c7ccbaa,MENTIONS_MODEL,model:2886ba7866ff,1
section:13c99c7ccbaa,MENTIONS_MODEL,model:657dc1fd8dc7,1
section:13c99c7ccbaa,MENTIONS_MODEL,model:941324798ffc,1
section:185a4ba773b0,MENTIONS_MODEL,model:8cfa666aef1a,1
section:edb1c4a01905,MENTIONS_MODEL,model:2886ba7866ff,1
section:edb1c4a01905,MENTIONS_MODEL,model:657dc1fd8dc7,1
section:edb1c4a01905,MENTIONS_MODEL,model:941324798ffc,1
section:ad73e3816873,MENTIONS_MODEL,model:2886ba7866ff,1
section:386fe7c9dd14,MENTIONS_TERM,term:41eef008cb28,1
section:386fe7c9dd14,MENTIONS_TERM,term:cb8ea1925439,1
section:d1543d722661,MENTIONS_TERM,term:41eef008cb28,1
section:d1543d722661,MENTIONS_TERM,term:cb8ea1925439,1
section:cdcff74bcc94,MENTIONS_TERM,term:41eef008cb28,1
section:cdcff74bcc94,MENTIONS_TERM,term:cb8ea1925439,1
section:cdcff74bcc94,MENTIONS_TERM,term:ea8e44e6472f,1
section:1bd5be0cd31a,MENTIONS_TERM,term:cb8ea1925439,1
section:18f62a5f9a18,MENTIONS_TERM,term:cb8ea1925439,1
section:5086539d1c9c,MENTIONS_TERM,term:41eef008cb28,1
section:5086539d1c9c,MENTIONS_TERM,term:cb8ea1925439,1
section:8f021c9b9006,MENTIONS_TERM,term:cb8ea1925439,1
section:edb1c4a01905,MENTIONS_TERM,term:41eef008cb28,1
section:ad73e3816873,MENTIONS_TERM,term:cb8ea1925439,1
section:ad73e3816873,MENTIONS_TERM,term:3f5ad413e2f2,1
section:ad73e3816873,MENTIONS_TERM,term:ea8e44e6472f,1
section:58dad2f9da61,MENTIONS_TERM,term:cb8ea1925439,1
section:adbb79569930,MENTIONS_TERM,term:cb8ea1925439,1
